assignment_name,assignment_url,starter_code_url,github_username,roster_identifier,student_repository_name,student_repository_url,submission_timestamp,points_awarded,points_available
The Moria mining codex - Part 1,https://classroom.github.com/classrooms/165832493-b4os-dev-2025/assignments/the-moria-mining-codex-part-1,https://api.github.com/repos/B4OS-Dev/b4os-dev-2025-the-moria-mining-codex-part-1-the-moria-mining-codex-part1,landaverdend,,the-moria-mining-codex-part-1-landaverdend,https://github.com/B4OS-Dev/the-moria-mining-codex-part-1-landaverdend,,0,75
The Moria mining codex - Part 1,https://classroom.github.com/classrooms/165832493-b4os-dev-2025/assignments/the-moria-mining-codex-part-1,https://api.github.com/repos/B4OS-Dev/b4os-dev-2025-the-moria-mining-codex-part-1-the-moria-mining-codex-part1,eudaldgr,,the-moria-mining-codex-part-1-eudaldgr,https://github.com/B4OS-Dev/the-moria-mining-codex-part-1-eudaldgr,,0,75
The Moria mining codex - Part 1,https://classroom.github.com/classrooms/165832493-b4os-dev-2025/assignments/the-moria-mining-codex-part-1,https://api.github.com/repos/B4OS-Dev/b4os-dev-2025-the-moria-mining-codex-part-1-the-moria-mining-codex-part1,sergipastor,,the-moria-mining-codex-part-1-sergipastor,https://github.com/B4OS-Dev/the-moria-mining-codex-part-1-sergipastor,,0,75
The Moria mining codex - Part 1,https://classroom.github.com/classrooms/165832493-b4os-dev-2025/assignments/the-moria-mining-codex-part-1,https://api.github.com/repos/B4OS-Dev/b4os-dev-2025-the-moria-mining-codex-part-1-the-moria-mining-codex-part1,asmel2020,,the-moria-mining-codex-part-1-asmel2020,https://github.com/B4OS-Dev/the-moria-mining-codex-part-1-asmel2020,,0,75
The Moria mining codex - Part 1,https://classroom.github.com/classrooms/165832493-b4os-dev-2025/assignments/the-moria-mining-codex-part-1,https://api.github.com/repos/B4OS-Dev/b4os-dev-2025-the-moria-mining-codex-part-1-the-moria-mining-codex-part1,daedraMex,,the-moria-mining-codex-part-1-daedraMex,https://github.com/B4OS-Dev/the-moria-mining-codex-part-1-daedraMex,,0,75
The Moria mining codex - Part 1,https://classroom.github.com/classrooms/165832493-b4os-dev-2025/assignments/the-moria-mining-codex-part-1,https://api.github.com/repos/B4OS-Dev/b4os-dev-2025-the-moria-mining-codex-part-1-the-moria-mining-codex-part1,dieaugen,,the-moria-mining-codex-part-1-dieaugen,https://github.com/B4OS-Dev/the-moria-mining-codex-part-1-dieaugen,,0,75
The Moria mining codex - Part 1,https://classroom.github.com/classrooms/165832493-b4os-dev-2025/assignments/the-moria-mining-codex-part-1,https://api.github.com/repos/B4OS-Dev/b4os-dev-2025-the-moria-mining-codex-part-1-the-moria-mining-codex-part1,RicardoFv2,,the-moria-mining-codex-part-1-RicardoFv2,https://github.com/B4OS-Dev/the-moria-mining-codex-part-1-RicardoFv2,,0,75
The Moria mining codex - Part 1,https://classroom.github.com/classrooms/165832493-b4os-dev-2025/assignments/the-moria-mining-codex-part-1,https://api.github.com/repos/B4OS-Dev/b4os-dev-2025-the-moria-mining-codex-part-1-the-moria-mining-codex-part1,Vidarte-Alberto,,the-moria-mining-codex-part-1-Vidarte-Alberto,https://github.com/B4OS-Dev/the-moria-mining-codex-part-1-Vidarte-Alberto,,0,75
The Moria mining codex - Part 1,https://classroom.github.com/classrooms/165832493-b4os-dev-2025/assignments/the-moria-mining-codex-part-1,https://api.github.com/repos/B4OS-Dev/b4os-dev-2025-the-moria-mining-codex-part-1-the-moria-mining-codex-part1,JordiParraCrespo,,the-moria-mining-codex-part-1-JordiParraCrespo,https://github.com/B4OS-Dev/the-moria-mining-codex-part-1-JordiParraCrespo,,0,75
The Moria mining codex - Part 1,https://classroom.github.com/classrooms/165832493-b4os-dev-2025/assignments/the-moria-mining-codex-part-1,https://api.github.com/repos/B4OS-Dev/b4os-dev-2025-the-moria-mining-codex-part-1-the-moria-mining-codex-part1,daviddcrrl,,the-moria-mining-codex-part-1-daviddcrrl,https://github.com/B4OS-Dev/the-moria-mining-codex-part-1-daviddcrrl,2025-09-17 10:38:00 UTC,25,75
The Moria mining codex - Part 1,https://classroom.github.com/classrooms/165832493-b4os-dev-2025/assignments/the-moria-mining-codex-part-1,https://api.github.com/repos/B4OS-Dev/b4os-dev-2025-the-moria-mining-codex-part-1-the-moria-mining-codex-part1,Dmenec,,the-moria-mining-codex-part-1-Dmenec,https://github.com/B4OS-Dev/the-moria-mining-codex-part-1-Dmenec,,0,75
The Moria mining codex - Part 1,https://classroom.github.com/classrooms/165832493-b4os-dev-2025/assignments/the-moria-mining-codex-part-1,https://api.github.com/repos/B4OS-Dev/b4os-dev-2025-the-moria-mining-codex-part-1-the-moria-mining-codex-part1,pada1leaf,,the-moria-mining-codex-part-1-pada1leaf,https://github.com/B4OS-Dev/the-moria-mining-codex-part-1-pada1leaf,,0,75
The Moria mining codex - Part 1,https://classroom.github.com/classrooms/165832493-b4os-dev-2025/assignments/the-moria-mining-codex-part-1,https://api.github.com/repos/B4OS-Dev/b4os-dev-2025-the-moria-mining-codex-part-1-the-moria-mining-codex-part1,undertangoclub,,the-moria-mining-codex-part-1-undertangoclub,https://github.com/B4OS-Dev/the-moria-mining-codex-part-1-undertangoclub,,0,75
The Moria mining codex - Part 1,https://classroom.github.com/classrooms/165832493-b4os-dev-2025/assignments/the-moria-mining-codex-part-1,https://api.github.com/repos/B4OS-Dev/b4os-dev-2025-the-moria-mining-codex-part-1-the-moria-mining-codex-part1,veaz,,the-moria-mining-codex-part-1-veaz,https://github.com/B4OS-Dev/the-moria-mining-codex-part-1-veaz,,0,75
The Moria mining codex - Part 1,https://classroom.github.com/classrooms/165832493-b4os-dev-2025/assignments/the-moria-mining-codex-part-1,https://api.github.com/repos/B4OS-Dev/b4os-dev-2025-the-moria-mining-codex-part-1-the-moria-mining-codex-part1,eugeniamorales251,,the-moria-mining-codex-part-1-eugeniamorales251,https://github.com/B4OS-Dev/the-moria-mining-codex-part-1-eugeniamorales251,,0,75
The Moria mining codex - Part 1,https://classroom.github.com/classrooms/165832493-b4os-dev-2025/assignments/the-moria-mining-codex-part-1,https://api.github.com/repos/B4OS-Dev/b4os-dev-2025-the-moria-mining-codex-part-1-the-moria-mining-codex-part1,bigilisandro,,the-moria-mining-codex-part-1-bigilisandro,https://github.com/B4OS-Dev/the-moria-mining-codex-part-1-bigilisandro,,0,75
The Moria mining codex - Part 1,https://classroom.github.com/classrooms/165832493-b4os-dev-2025/assignments/the-moria-mining-codex-part-1,https://api.github.com/repos/B4OS-Dev/b4os-dev-2025-the-moria-mining-codex-part-1-the-moria-mining-codex-part1,Georgee-dev,,the-moria-mining-codex-part-1-Georgee-dev,https://github.com/B4OS-Dev/the-moria-mining-codex-part-1-Georgee-dev,,0,75
The Moria mining codex - Part 1,https://classroom.github.com/classrooms/165832493-b4os-dev-2025/assignments/the-moria-mining-codex-part-1,https://api.github.com/repos/B4OS-Dev/b4os-dev-2025-the-moria-mining-codex-part-1-the-moria-mining-codex-part1,doblon8,,the-moria-mining-codex-part-1-doblon8,https://github.com/B4OS-Dev/the-moria-mining-codex-part-1-doblon8,2025-09-17 17:29:15 UTC,0,75
The Moria mining codex - Part 1,https://classroom.github.com/classrooms/165832493-b4os-dev-2025/assignments/the-moria-mining-codex-part-1,https://api.github.com/repos/B4OS-Dev/b4os-dev-2025-the-moria-mining-codex-part-1-the-moria-mining-codex-part1,wcvelando,,the-moria-mining-codex-part-1-wcvelando,https://github.com/B4OS-Dev/the-moria-mining-codex-part-1-wcvelando,,0,75
The Moria mining codex - Part 1,https://classroom.github.com/classrooms/165832493-b4os-dev-2025/assignments/the-moria-mining-codex-part-1,https://api.github.com/repos/B4OS-Dev/b4os-dev-2025-the-moria-mining-codex-part-1-the-moria-mining-codex-part1,inietov,,the-moria-mining-codex-part-1-inietov,https://github.com/B4OS-Dev/the-moria-mining-codex-part-1-inietov,,0,75
The Moria mining codex - Part 1,https://classroom.github.com/classrooms/165832493-b4os-dev-2025/assignments/the-moria-mining-codex-part-1,https://api.github.com/repos/B4OS-Dev/b4os-dev-2025-the-moria-mining-codex-part-1-the-moria-mining-codex-part1,fabohax,,the-moria-mining-codex-part-1-fabohax,https://github.com/B4OS-Dev/the-moria-mining-codex-part-1-fabohax,,0,75
